trade_date,沪铅_close_return,沪铅_daily_return,沪铅_position,沪铅_equity_curve,沪铅_long_signal,沪铅_short_signal,沪铅_exit_long_signal,沪铅_exit_short_signal,沪铝_close_return,沪铝_daily_return,沪铝_position,沪铝_equity_curve,沪铝_long_signal,沪铝_short_signal,沪铝_exit_long_signal,沪铝_exit_short_signal,棕榈油_close_return,棕榈油_daily_return,棕榈油_position,棕榈油_equity_curve,棕榈油_long_signal,棕榈油_short_signal,棕榈油_exit_long_signal,棕榈油_exit_short_signal,纯碱_close_return,纯碱_daily_return,纯碱_position,纯碱_equity_curve,纯碱_long_signal,纯碱_short_signal,纯碱_exit_long_signal,纯碱_exit_short_signal,菜粕_close_return,菜粕_daily_return,菜粕_position,菜粕_equity_curve,菜粕_long_signal,菜粕_short_signal,菜粕_exit_long_signal,菜粕_exit_short_signal,PVC_close_return,PVC_daily_return,PVC_position,PVC_equity_curve,PVC_long_signal,PVC_short_signal,PVC_exit_long_signal,PVC_exit_short_signal,焦煤_close_return,焦煤_daily_return,焦煤_position,焦煤_equity_curve,焦煤_long_signal,焦煤_short_signal,焦煤_exit_long_signal,焦煤_exit_short_signal,棉花_close_return,棉花_daily_return,棉花_position,棉花_equity_curve,棉花_long_signal,棉花_short_signal,棉花_exit_long_signal,棉花_exit_short_signal,热卷_close_return,热卷_daily_return,热卷_position,热卷_equity_curve,热卷_long_signal,热卷_short_signal,热卷_exit_long_signal,热卷_exit_short_signal,portfolio_daily_return,portfolio_equity_curve
2025-07-22,0.0,0.0,0,1.0,False,False,False,False,0.0,0.0,0,1.0,False,False,False,False,0.0,0.0,0,1.0,False,False,False,False,0.0,0.0,0,1.0,False,False,False,False,0.0,0.0,0,1.0,False,False,False,False,0.0,0.0,0,1.0,False,False,False,False,0.0,0.0,0,1.0,False,False,False,False,0.0,0.0,0,1.0,False,False,False,False,0.0,0.0,0,1.0,False,False,False,False,0.0,1.0
2025-07-23,-0.00295857988165682,-0.0,0,1.0,False,False,False,False,-0.0052631578947368585,-0.0,0,1.0,False,False,False,False,0.007618194039883397,0.0,0,1.0,False,False,False,False,-0.026909090909090883,-0.0,0,1.0,False,False,False,False,0.008040935672514626,0.0,0,1.0,False,False,False,False,-0.020722433460076073,-0.0,0,1.0,False,False,False,False,0.0829756795422032,0.0,0,1.0,False,False,False,False,-0.0031634446397188487,-0.0,0,1.0,False,False,False,False,-0.011216566005176842,-0.0,0,1.0,False,False,False,False,0.0,1.0
2025-07-24,0.002373887240356032,0.0,0,1.0,False,False,False,True,-0.0014430014430014682,-0.0,0,1.0,False,False,False,True,0.012230375806092875,0.0,0,1.0,False,False,False,True,0.05231689088191338,0.0,0,1.0,False,False,False,True,-0.027556200145032683,-0.0,0,1.0,False,False,True,False,0.016889924286546343,0.0,0,1.0,False,False,False,True,0.05548216644649928,0.0,0,1.0,False,False,False,True,-0.0014104372355430161,-0.0,0,1.0,False,False,True,False,0.005235602094240788,0.0,0,1.0,False,False,False,True,0.0,1.0
2025-07-25,0.00384843102427479,0.0,0,1.0,False,False,False,True,0.0,0.0,0,1.0,False,False,False,True,-0.018453427065026395,-0.0,0,1.0,False,False,True,False,0.022727272727272707,0.0,0,1.0,False,False,False,True,-0.0026099925428784143,-0.0,0,1.0,False,False,True,False,0.025773195876288568,0.0,0,1.0,False,False,False,True,0.05047976637463503,0.0,0,1.0,False,False,False,True,0.0007062146892655718,0.0,0,1.0,False,False,True,False,0.01475694444444442,0.0,0,1.0,False,False,True,False,0.0,1.0
2025-07-28,-0.0023591860808021003,-0.0,0,1.0,False,False,False,True,-0.006984585741811156,-0.0,0,1.0,False,False,True,False,0.0011190689346463056,0.0,0,1.0,False,False,True,False,-0.08611111111111114,-0.0,0,1.0,False,False,True,False,-0.005607476635513975,-0.0,0,1.0,False,False,True,False,-0.041689931137167346,-0.0,0,1.0,False,False,True,False,-0.12589356632247817,-0.0,0,1.0,False,False,True,False,-0.006704304869442512,-0.0,0,1.0,False,False,True,False,-0.031365839749073254,-0.0,0,1.0,False,False,True,False,0.0,1.0
2025-07-29,-0.000886786875554213,-0.0,0,1.0,False,False,False,True,-0.00048508367693422816,-0.0,0,1.0,False,False,True,False,0.0026827632461434714,0.0,0,1.0,False,False,True,False,0.001519756838905817,0.0,0,1.0,False,False,True,False,0.0,0.0,0,1.0,False,False,True,False,0.008351136142940474,0.0,0,1.0,False,False,True,False,0.0181735574738755,0.0,0,1.0,False,False,True,False,-0.010657193605683846,-0.0,0,1.0,False,False,True,False,0.031204003532528723,0.0,0,1.0,False,False,True,False,0.0,1.0
2025-07-30,-0.0005917159763313418,-0.0,0,1.0,False,False,False,True,0.0009706381946128495,0.0,-1,1.0,False,True,True,False,0.0013377926421405117,0.0,0,1.0,False,False,True,False,-0.00531107738998482,-0.0,0,1.0,False,False,True,False,0.02819548872180455,0.0,0,1.0,False,False,True,False,-0.006355932203389814,-0.0,-1,1.0,False,True,True,False,0.09995537706381086,0.0,-1,1.0,False,True,True,False,-0.012208258527827698,-0.0,0,1.0,False,False,True,False,-0.005709391949757392,-0.0,0,1.0,False,False,True,False,0.0,1.0
2025-07-31,-0.009177027827116602,-0.0,0,1.0,False,False,True,False,-0.005575757575757567,0.005575757575757567,-1,1.0055757575757576,False,False,True,False,-0.009129369850812696,-0.0,0,1.0,False,False,True,False,-0.04881769641495037,-0.0,0,1.0,False,False,True,False,-0.013162705667276065,-0.0,0,1.0,False,False,False,True,-0.02287264973832137,0.02287264973832137,-1,1.0228726497383214,False,False,True,False,-0.07910750507099396,0.07910750507099396,-1,1.079107505070994,False,True,True,False,-0.007633587786259555,-0.0,0,1.0,False,False,True,False,-0.0267011197243755,-0.0,0,1.0,False,False,True,False,0.011950656931674766,1.0119506569316747
2025-08-01,0.0,0.0,0,1.0,False,False,True,False,0.0,-0.0,-1,1.0055757575757576,False,False,True,False,0.0011235955056179137,0.0,0,1.0,False,False,True,False,0.0072173215717723505,0.0,0,1.0,False,False,True,False,-0.008892182289736983,-0.0,0,1.0,False,False,False,True,-0.005157706804205464,0.005157706804205464,-1,1.0281483269637124,False,False,True,False,-0.037444933920704804,0.037444933920704804,-1,1.1195146142917138,False,False,True,False,-0.004761904761904745,-0.0,0,1.0,False,False,True,False,0.003244837758112018,0.0,0,1.0,False,False,True,False,0.004733626747212252,1.0167408536281854
2025-08-04,0.0008963250672244794,0.0,0,1.0,False,False,True,False,0.0007313505607020598,-0.0007313505607020598,-1,1.0048403291816261,False,False,True,False,-0.008080808080808133,-0.0,0,1.0,False,False,True,False,-0.0023885350318471055,-0.0,0,1.0,False,False,True,False,0.0011214953271028172,0.0,0,1.0,False,False,False,True,-0.006779661016949157,0.006779661016949157,-1,1.0351188240956697,False,False,True,False,0.04439359267734555,-0.04439359267734555,-1,1.0698153385085118,False,False,True,False,0.0161943319838056,0.0,0,1.0,False,False,True,False,0.004704498676859847,0.0,0,1.0,False,False,True,False,-0.004260586913455384,1.0124089408528416
